Ref,Val,Package,PosX,PosY,Rot,Side,Mfg,Mfg Part No,Digikey Part No
C1,1uF,C_0805,12.065,15.24,0,top,Yageo,CC0805KKX7R7BB105,311-1365-1-ND
C2,1uF,C_0805,21.59,9.525,0,top,Yageo,CC0805KKX7R7BB105,311-1365-1-ND
C3,1uF,C_0805,17.145,15.24,180,top,Yageo,CC0805KKX7R7BB105,311-1365-1-ND
D1,TX,LED-0805,25.4,6.985,0,top,Osram,LG R971-KN-1,475-1410-1-ND
D2,RX,LED-0805,25.4,4.445,0,top,Osram,LG R971-KN-1,475-1410-1-ND
D3,PWR,LED-0805,25.4,15.24,0,top,Osram,LG R971-KN-1,475-1410-1-ND
F1,500mA-1206,Fuse_SMD1206_Ref,6.985,10.795,90,top,Bel Fuse,0ZCK0050FF2E,507-1813-1-ND
P1,USB_OTG,USB_Micro-B,2.54,8.255,270,top,Amphenol FCI,10118194-0001LF,609-4618-1-ND
Q1,Q_PMOS_GSD,SOT-23,25.4,10.795,270,top,Diodes,DMG2305UX-7,DMG2305UX-7DICT-ND
R1,75k,R_0805,3.81,14.605,90,top,Yageo,RC0805FR-0775KL,311-75.0KCRCT-ND
R2,24k,R_0805,6.985,5.08,90,top,Yageo,RC0805FR-0724KL,311-24.0KCRCT-ND
R3,30k,R_0805,1.27,14.605,90,top,Yageo,RC0805FR-0730KL,311-30.0KCRCT-ND
R4,10,R_0805,21.59,12.065,0,top,Yageo,RC0805JR-0710RL,311-10ARCT-ND
R5,220,R_0805,21.59,6.985,0,top,Yageo,RC0805JR-07220RL,311-220ARCT-ND
R6,220,R_0805,21.59,4.445,0,top,Yageo,RC0805JR-07220RL,311-220ARCT-ND
R7,220,R_0805,21.59,15.24,0,top,Yageo,RC0805JR-07220RL,311-220ARCT-ND
U1,AP7365_ADJ_SOT-2,SOT-23-5,6.985,14.605,0,top,Diodes,AP7365-WG-7,AP7365-WG-7DICT-ND
U2,CY7C65213-SSOP,SSOP-28_5.3x10.2,13.97,8.255,270,top,Cypress,CY7C65213-28PVXI,CY7C65213-28PVXI-ND