Designator,Mid X,Mid Y,Rotation,Layer
C1,32.000000,11.500000,0.000000,top
C2,32.000000,10.250000,0.000000,top
C3,31.500000,5.250000,-90.000000,top
C4,26.250000,2.550000,-90.000000,top
C5,21.500000,5.250000,-90.000000,top
C6,21.500000,11.250000,90.000000,top
C7,27.000000,13.500000,90.000000,top
C9,29.250000,13.000000,0.000000,top
C10,25.750000,13.500000,90.000000,top
C11,27.500000,2.550000,-90.000000,top
C12,45.500000,10.250000,-90.000000,top
C13,45.500000,13.500000,90.000000,top
C14,12.750000,1.500000,90.000000,top
C15,20.250000,1.500000,-90.000000,top
C16,30.000000,2.550000,-90.000000,top
D1,11.750000,12.750000,-90.000000,top
D2,42.000000,13.750000,180.000000,top
D3,9.250000,1.750000,0.000000,top
D4,6.000000,1.750000,0.000000,top
D5,35.250000,10.500000,0.000000,top
D6,1.500000,1.750000,0.000000,top
J1,3.750000,8.000000,-90.000000,top
P1,51.191880,7.997580,180.000000,top
R1,32.000000,14.000000,180.000000,top
R2,32.000000,12.750000,180.000000,top
R3,21.600000,14.000000,-90.000000,top
R4,22.800000,14.000000,90.000000,top
R5,21.000000,7.500000,180.000000,top
R6,21.000000,8.500000,180.000000,top
R7,21.500000,1.500000,-90.000000,top
R8,29.500000,0.750000,180.000000,top
R9,5.750000,14.250000,0.000000,top
R10,3.500000,14.250000,180.000000,top
R12,44.250000,2.750000,0.000000,top
R13,10.500000,3.250000,180.000000,top
R14,10.500000,4.500000,180.000000,top
R15,37.250000,10.500000,-90.000000,top
R16,3.750000,1.500000,-90.000000,top
SW1,37.000000,7.550000,180.000000,top
SW2,37.000000,2.550000,180.000000,top
U1,26.500000,8.050000,0.000000,top
U2,17.250000,12.250000,0.000000,top
U3,35.750000,13.250000,0.000000,top
U4,42.250000,10.500000,0.000000,top
U5,11.750000,8.000000,180.000000,top
Y1,16.500000,2.500000,180.000000,top